94,"(128, 64, 64)",0.2,0.02,0.7545171976089478
95,"(128, 64, 64)",0.2,0.01,0.7530253529548645
96,"(128, 64, 64)",0.2,0.005,0.80304354429245
97,"(128, 64, 64)",0.5,0.02,0.6800169348716736
98,"(128, 64, 64)",0.5,0.01,0.7468326091766357
99,"(128, 64, 64)",0.5,0.005,0.7690736055374146
100,"(128, 64, 32)",0.1,0.02,0.7550061941146851
101,"(128, 64, 32)",0.1,0.01,0.7649646997451782
102,"(128, 64, 32)",0.1,0.005,0.7879663109779358
103,"(128, 64, 32)",0.2,0.02,0.784004271030426
104,"(128, 64, 32)",0.2,0.01,0.8000602722167969
105,"(128, 64, 32)",0.2,0.005,0.7472108602523804
106,"(128, 64, 32)",0.5,0.02,0.7159405946731567
107,"(128, 64, 32)",0.5,0.01,0.767315149307251
108,"(128, 64, 32)",0.5,0.005,0.7690190076828003
109,"(128, 64, 16)",0.1,0.02,0.6982788443565369
110,"(128, 64, 16)",0.1,0.01,0.7533693313598633
111,"(128, 64, 16)",0.1,0.005,0.8102201223373413
112,"(128, 64, 16)",0.2,0.02,0.7237881422042847
113,"(128, 64, 16)",0.2,0.01,0.7481149435043335
114,"(128, 64, 16)",0.2,0.005,0.7726148366928101
115,"(128, 64, 16)",0.5,0.02,0.7159461975097656
116,"(128, 64, 16)",0.5,0.01,0.6666650772094727
117,"(128, 64, 16)",0.5,0.005,0.6937369704246521
118,"(128, 32, 32)",0.1,0.02,0.6682515740394592
119,"(128, 32, 32)",0.1,0.01,0.7772350311279297
120,"(128, 32, 32)",0.1,0.005,0.7613396048545837
121,"(128, 32, 32)",0.2,0.02,0.7994186878204346
122,"(128, 32, 32)",0.2,0.01,0.7317072749137878
123,"(128, 32, 32)",0.2,0.005,0.6262881755828857
124,"(128, 32, 32)",0.5,0.02,0.6944083571434021
125,"(128, 32, 32)",0.5,0.01,0.7760692834854126
126,"(128, 32, 32)",0.5,0.005,0.7675361633300781
127,"(128, 32, 16)",0.1,0.02,0.7676452398300171
128,"(128, 32, 16)",0.1,0.01,0.8006643056869507
129,"(128, 32, 16)",0.1,0.005,0.7790873646736145
130,"(128, 32, 16)",0.2,0.02,0.7487666606903076
131,"(128, 32, 16)",0.2,0.01,0.7703601121902466
132,"(128, 32, 16)",0.2,0.005,0.7726038694381714
133,"(128, 32, 16)",0.5,0.02,0.7354926466941833
134,"(128, 32, 16)",0.5,0.01,0.7084156274795532
135,"(128, 32, 16)",0.5,0.005,0.7090069651603699
136,"(128, 16, 16)",0.1,0.02,0.7342872619628906
137,"(128, 16, 16)",0.1,0.01,0.7761985659599304
138,"(128, 16, 16)",0.1,0.005,0.7601746320724487
139,"(128, 16, 16)",0.2,0.02,0.7524471879005432
140,"(128, 16, 16)",0.2,0.01,0.7751877903938293
141,"(128, 16, 16)",0.2,0.005,0.7642159461975098
142,"(128, 16, 16)",0.5,0.02,0.7138716578483582
143,"(128, 16, 16)",0.5,0.01,0.7210783362388611
144,"(128, 16, 16)",0.5,0.005,0.7505868077278137
145,"(64, 32, 32)",0.1,0.02,0.7718461751937866
146,"(64, 32, 32)",0.1,0.01,0.797539472579956
147,"(64, 32, 32)",0.1,0.005,0.7484040856361389
148,"(64, 32, 32)",0.2,0.02,0.8095741271972656
149,"(64, 32, 32)",0.2,0.01,0.7787667512893677
150,"(64, 32, 32)",0.2,0.005,0.7695528864860535
151,"(64, 32, 32)",0.5,0.02,0.7477811574935913
152,"(64, 32, 32)",0.5,0.01,0.7406749725341797
153,"(64, 32, 32)",0.5,0.005,0.6709024906158447
154,"(64, 32, 16)",0.1,0.02,0.7449183464050293
